danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,id,mood,motivation,release_decade
0.334,0.212,-10.07,0.0355,0.908,0.000112,0.206,79.925,3pmZMUdxIKSu4YBVqGlyLe,0.0,0.0,2020s
0.44,0.317,-9.258,0.0531,0.891,4.78e-06,0.268,169.914,6xGruZOHLs39ZbVccQTuPZ,0.0,0.0,2020s
0.529,0.353,-12.835,0.0292,0.788,0.853,0.0601,104.557,7svpAkwc6xaSxlbZ7V7JiS,0.0,0.0,2010s
0.451,0.166,-11.125,0.0696,0.909,0.0,0.0901,121.123,7mMlbJlXXo2mRtQ4R9sIzD,0.0,0.0,2000s
0.293,0.131,-18.658,0.039,0.886,0.14,0.123,78.885,1kr0XkYcWe2HTuCFN3BuGA,0.0,0.0,2020s
0.66,0.267,-17.097,0.0443,0.895,0.142,0.311,72.242,6cpJNjQmY57lHVoVdAiFN8,0.0,0.0,2020s
0.401,0.132,-15.569,0.0355,0.938,0.102,0.0381,136.142,07XaOyTS5hyaWiUK1Bc3bR,0.0,0.0,2010s
0.454,0.385,-12.849,0.0313,0.287,9.97e-05,0.144,154.918,71BWZa1liIRyUiuJ3MB66o,0.0,0.0,2010s
0.369,0.192,-12.151,0.04,0.555,8.35e-06,0.148,175.212,3WMj8moIAXJhHsyLaqIIHI,0.0,0.0,2020s
0.696,0.0867,-25.203,0.0418,0.988,0.922,0.349,129.989,0Z94dtWElamDwU4NrcGoUR,0.0,0.0,2020s
0.324,0.136,-10.33,0.0318,0.931,0.00117,0.0831,97.256,3pRaLNL3b8x5uBOcsgvdqM,0.0,0.0,1990s
0.365,0.273,-16.526,0.038,0.94,0.431,0.238,132.285,0oTtnnedK0C4unALxVTPhz,0.0,0.0,2010s
0.645,0.144,-13.969,0.033,0.896,7.1e-05,0.333,93.08,2PehCKKeDxSVeOnkLuhp5l,0.0,0.0,2020s
0.457,0.343,-9.387,0.0305,0.805,0.0182,0.0562,119.94,0HEzuLLojblUOaUSdmJ9gl,0.0,0.0,2020s
0.572,0.155,-14.405,0.0344,0.835,0.000137,0.0949,109.923,18UsAG7SfOQ5sxJEdjAMH0,0.0,0.0,2010s
0.339,0.243,-12.512,0.056,0.869,0.00369,0.183,154.909,46RNrAkGsqWTDrv2ZPOAbx,0.0,0.0,2020s
0.418,0.264,-14.483,0.036,0.923,0.00149,0.134,112.05,52TZItSmEl1Cb3Ai55Bwdi,0.0,0.0,2020s
0.534,0.392,-7.636,0.0267,0.649,0.000227,0.163,90.379,28cnXtME493VX9NOw9cIUh,0.0,0.0,2000s
